               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12866,             0.01267,            0.074483,           0.0054645,            0.045455,           0.0031105,           0.0018663,              0.1293,           0.0093861,            0.073046,                   0,                   0,                 0.1
                   1,             0.12944,            0.012663,            0.074736,            0.012195,            0.090909,           0.0076044,           0.0017843,             0.12852,           0.0095725,            0.073013,          9.9802e-05,          9.9802e-05,              0.0991
                   2,             0.12938,            0.012297,            0.074413,            0.011561,            0.090909,           0.0072727,           0.0017024,              0.1274,           0.0096841,            0.072519,          0.00019921,          0.00019921,            0.098199
                   3,             0.12675,            0.014455,            0.073813,            0.016393,             0.13636,            0.011503,           0.0023923,             0.12614,           0.0098183,             0.07195,          0.00029822,          0.00029822,            0.097298
                   4,             0.12673,            0.013288,            0.074176,            0.021858,             0.18182,            0.014305,           0.0026864,             0.12439,            0.010002,            0.071188,          0.00039683,          0.00039683,            0.096397
                   5,             0.12764,            0.014357,            0.072585,            0.020101,             0.18182,            0.013672,           0.0025707,              0.1224,            0.010225,             0.07025,          0.00049505,          0.00049505,            0.095495
                   6,             0.12379,            0.013979,            0.070758,            0.022624,             0.22727,            0.017753,           0.0033287,             0.11982,            0.010514,             0.06919,          0.00059287,          0.00059287,            0.094593
                   7,             0.12248,            0.014957,            0.071177,             0.02459,             0.27273,            0.018845,           0.0032724,             0.11707,            0.010803,            0.067872,           0.0006903,           0.0006903,             0.09369
                   8,             0.12258,            0.013384,            0.069875,            0.032967,             0.40909,            0.024367,           0.0056883,             0.11409,            0.011162,             0.06637,          0.00078733,          0.00078733,            0.092787
                   9,             0.11902,            0.016216,            0.069123,            0.023026,             0.31818,            0.017919,           0.0046827,             0.11094,            0.011556,            0.064851,          0.00088396,          0.00088396,            0.091884
                  10,             0.11963,            0.015673,            0.066892,            0.026549,             0.40909,            0.022143,            0.005252,             0.10805,            0.011904,            0.063101,           0.0009802,           0.0009802,             0.09098
                  11,             0.11783,            0.016599,            0.065693,             0.02957,                 0.5,            0.025985,           0.0059593,             0.10612,            0.012134,            0.061309,            0.001076,            0.001076,            0.090076
                  12,              0.1073,            0.017025,              0.0645,            0.027295,                 0.5,            0.025653,           0.0071101,             0.10455,            0.012304,            0.059156,           0.0011715,           0.0011715,            0.089171
                  13,             0.10635,            0.019512,            0.061653,            0.025522,                 0.5,            0.030714,           0.0090331,             0.10345,             0.01236,            0.056762,           0.0012665,           0.0012665,            0.088267
                  14,             0.10648,            0.017587,            0.059883,            0.022727,                 0.5,            0.037691,           0.0084997,             0.10302,             0.01232,            0.053884,           0.0013612,           0.0013612,            0.087361
                  15,             0.10298,            0.018233,            0.057253,            0.021661,             0.54545,            0.051569,            0.012884,               0.102,            0.012327,            0.050531,           0.0014555,           0.0014555,            0.086455
                  16,             0.10522,            0.022125,            0.053875,            0.022472,             0.63636,            0.048876,            0.016309,            0.099597,            0.012519,            0.046599,           0.0015493,           0.0015493,            0.085549
                  17,             0.10636,            0.016796,            0.051473,            0.022472,             0.63636,            0.048876,            0.016309,            0.099597,            0.012519,            0.046599,           0.0016428,           0.0016428,            0.084643
                  18,             0.10421,            0.016776,            0.050638,             0.10764,             0.40909,             0.15233,            0.030218,            0.093171,            0.013111,            0.041869,           0.0017358,           0.0017358,            0.083736
                  19,            0.099726,            0.018131,            0.045514,             0.10764,             0.40909,             0.15233,            0.030218,            0.093171,            0.013111,            0.041869,           0.0018285,           0.0018285,            0.082829
                  20,            0.097907,            0.019959,            0.046349,             0.26523,             0.22727,             0.21149,            0.051707,            0.092417,            0.012924,            0.036823,           0.0019208,           0.0019208,            0.081921
                  21,             0.09549,            0.024455,            0.043887,             0.26523,             0.22727,             0.21149,            0.051707,            0.092417,            0.012924,            0.036823,           0.0020127,           0.0020127,            0.081013
